,U1,U2,U3,U4
0,2k,4k,6k,8k
1,10k,20k,,
2,star 1,star 2,star 3,star rollover
3,,left bat,left cat,
4,,bat 2,cat 2,5x
5,,bat 3,cat 3,double grey-b
6,,bat 4,cat 4?,left spinner
7,Y,X,Z,plus 4k eject
8,,,,
9,,,,
10,shoot again,match,plus 4k 3 bank,plus double
11,,,left special,right eb
12,ball in play,high score,game over,tilt
13,player 1,player 2,player 3,player 4
14,p1 up,p2 up,p3 up,p4 up
